budget,id,original_language,original_title,popularity,release_date,revenue,runtime,status,title,vote_average,vote_count
60000000,9384,en,Starsky & Hutch,28.848842,5/03/2004,170268750,101,Released,Starsky & Hutch,5.6,644
60000000,9279,en,Jingle All the Way,22.501041,15/11/1996,129832389,89,Released,Jingle All the Way,5.5,575
66000000,1487,en,Hellboy,47.479755,2/04/2004,99318987,122,Released,Hellboy,6.5,2225
70000000,9422,en,A Civil Action,10.147321,5/03/1998,56702901,115,Released,A Civil Action,6.1,109
60000000,77174,en,ParaNorman,39.539045,3/08/2012,107139399,90,Released,ParaNorman,6.7,789
60000000,4824,en,The Jackal,19.747459,14/11/1997,159330280,124,Released,The Jackal,6.1,527
60000000,9620,en,Paycheck,29.018826,25/12/2003,96269812,119,Released,Paycheck,5.9,581
60000000,9302,en,Up Close & Personal,4.801849,1/03/1996,0,119,Released,Up Close & Personal,5.9,50
60000000,10199,en,The Tale of Despereaux,16.493576,19/12/2008,50877145,93,Released,The Tale of Despereaux,5.8,258
0,10771,en,The Tuxedo,21.549232,27/09/2002,0,98,Released,The Tuxedo,5.3,483
60000000,3512,en,Under Siege 2: Dark Territory,13.080725,13/07/1995,104324083,100,Released,Under Siege 2: Dark Territory,5.6,210
60000000,137094,en,Jack Ryan: Shadow Recruit,42.538258,15/01/2014,50549107,105,Released,Jack Ryan: Shadow Recruit,5.9,1173
60000000,274479,en,Joy,29.876507,24/12/2015,101134059,124,Released,Joy,6.4,1581
60000000,267860,en,London Has Fallen,61.849521,2/03/2016,205754447,99,Released,London Has Fallen,5.8,1621
70000000,8078,en,Alien: Resurrection,37.44963,12/11/1997,162000000,109,Released,Alien: Resurrection,5.9,1365
61000000,7485,en,Shooter,37.378081,22/03/2007,95696996,124,Released,Shooter,6.9,1462
60000000,170687,en,The Boxtrolls,30.656345,10/09/2014,108255770,97,Released,The Boxtrolls,6.6,668
75000000,6435,en,Practical Magic,15.142701,16/10/1998,46683377,104,Released,Practical Magic,6.3,338
